"date","value","groupid","group"
"2009-04-12",38.068,359,"VPOS"
"2009-04-13",37.8944,359,"VPOS"
"2009-04-14",38.6136,359,"VPOS"
"2009-04-17",38.0308,359,"VPOS"
"2009-04-18",38.2044,359,"VPOS"
"2009-04-19",39.0352,359,"VPOS"
"2009-04-20",39.0352,359,"VPOS"
"2009-04-21",39.2088,359,"VPOS"
"2009-04-24",39.2088,359,"VPOS"
"2009-04-25",39.0104,359,"VPOS"
"2009-04-26",38.8244,359,"VPOS"
"2009-04-27",39.2088,359,"VPOS"
"2009-04-28",38.9856,359,"VPOS"
"2009-05-01",39.122,359,"VPOS"
"2009-05-02",39.0724,359,"VPOS"
"2009-05-03",38.8492,359,"VPOS"
"2009-05-04",38.7128,359,"VPOS"
"2009-05-05",38.254,359,"VPOS"
"2009-05-08",38.7624,359,"VPOS"
"2009-05-09",38.564,359,"VPOS"
"2009-05-10",38.8368,359,"VPOS"
"2009-05-11",38.3904,359,"VPOS"
"2009-05-12",39.0104,359,"VPOS"
"2009-05-15",39.0848,359,"VPOS"
"2009-05-16",39.1096,359,"VPOS"
"2009-05-17",39.0352,359,"VPOS"
"2009-05-18",38.9112,359,"VPOS"
"2009-05-19",39.122,359,"VPOS"
"2009-05-22",39.0476,359,"VPOS"
"2009-05-23",39.4816,359,"VPOS"
"2009-05-24",39.2956,359,"VPOS"
"2009-05-25",39.37,359,"VPOS"
"2009-05-26",39.494,359,"VPOS"
"2009-05-29",39.5064,359,"VPOS"
"2009-05-30",39.3452,359,"VPOS"
"2009-05-31",39.494,359,"VPOS"
"2009-06-01",39.432,359,"VPOS"
"2009-06-02",39.5498,359,"VPOS"
"2009-06-05",39.556,359,"VPOS"
"2009-06-06",39.6304,359,"VPOS"
"2009-06-07",39.9528,359,"VPOS"
"2009-06-08",39.7792,359,"VPOS"
"2009-06-09",39.5188,359,"VPOS"
"2009-06-12",39.432,359,"VPOS"
"2009-06-13",39.3328,359,"VPOS"
"2009-06-14",39.1716,359,"VPOS"
"2009-06-15",39.2708,359,"VPOS"
"2009-06-16",39.3328,359,"VPOS"
"2009-06-19",38.9484,359,"VPOS"
"2009-06-20",39.4072,359,"VPOS"
"2009-06-21",39.3328,359,"VPOS"
"2009-06-22",39.7544,359,"VPOS"
"2009-06-23",39.742,359,"VPOS"
"2009-06-26",39.5188,359,"VPOS"
"2009-06-27",39.3824,359,"VPOS"
"2009-06-28",39.2088,359,"VPOS"
"2009-06-29",39.184,359,"VPOS"
"2009-06-30",38.8616,359,"VPOS"
"2009-07-03",38.9918,359,"VPOS"
"2009-07-04",38.5392,359,"VPOS"
"2009-07-05",38.5206,359,"VPOS"
"2009-07-06",38.75,359,"VPOS"
"2009-07-07",38.6012,359,"VPOS"
